event_target,censor_target,batch_size,batching_policy,seed,best_epoch,best_val_c_index,best_time_s,total_time_s,final_train_loss,final_val_loss,final_val_ipcw_c_index,final_val_brier_proxy,test_harrell_c_index,test_uno_c_index,test_c_index,test_ipcw_c_index,test_brier_proxy,final_zero_event_fraction,final_one_event_fraction,final_grad_norm_var,empirical_zero_event_prob,empirical_weak_info_prob,train_event_rate,theoretical_zero_event_prob,theoretical_weak_info_prob,sampler_feasible,sampler_mode,sampler_with_replacement,requested_event_fraction,requested_min_events_per_batch,run_name,compact_run_id,realized_dataset_event_rate,realized_censoring_susceptible
0.1,0.5,8,random,0,0,0.528124988079071,0.0473756249998587,0.04748066599995582,0.5545135233137343,3.8949098587036133,0.5256438255310059,0.4567740857601166,0.5354610085487366,0.5889436602592468,0.5354610085487366,0.5889436602592468,0.4830794036388397,0.6888888888888889,0.2222222222222222,0.8419475304159241,0.6888888888888889,0.9111111111111111,0.05027932960893855,0.6618615060302866,0.9421793203489962,True,random,False,nan,0,evt_0.10__cen_0.50__b_8__policy_random__seed_0,family_smoke_20260329_132436,0.056640625,0.42000000000000004
0.1,0.5,8,event_quota_wr_25,0,0,0.44999998807907104,0.07172162500000923,0.0718059999999241,1.5047430336475371,4.327353000640869,0.4653027355670929,0.38766375184059143,0.3758865296840668,0.43338829278945923,0.3758865296840668,0.43338829278945923,0.39321592450141907,0.0,0.0,2.064211574084727,0.0,0.0,0.05027932960893855,0.6618615060302866,0.9421793203489962,True,quota,True,0.25,0,evt_0.10__cen_0.50__b_8__policy_event_quota_wr_25__seed_0,family_smoke_20260329_132436,0.056640625,0.42000000000000004
0.1,0.5,8,event_quota_wr_50,0,0,0.4906249940395355,0.08030295800017484,0.08038204100012081,1.5196895745065477,4.288107395172119,0.5286834239959717,0.38647180795669556,0.39716312289237976,0.448040246963501,0.39716312289237976,0.448040246963501,0.39264968037605286,0.0,0.0,1.197759449190362,0.0,0.0,0.05027932960893855,0.6618615060302866,0.9421793203489962,True,quota,True,0.5,0,evt_0.10__cen_0.50__b_8__policy_event_quota_wr_50__seed_0,family_smoke_20260329_132436,0.056640625,0.42000000000000004
0.1,0.5,8,riskset_anchor_25,0,0,0.5093749761581421,0.07012908299975606,0.07023433299991666,1.4630081070793999,4.512214183807373,0.47094807028770447,0.35671210289001465,0.44680851697921753,0.513906717300415,0.44680851697921753,0.513906717300415,0.41037213802337646,0.0,0.0,0.7205546516596836,0.0,0.0,0.05027932960893855,0.6618615060302866,0.9421793203489962,True,riskset_anchor,True,0.25,0,evt_0.10__cen_0.50__b_8__policy_riskset_anchor_25__seed_0,family_smoke_20260329_132436,0.056640625,0.42000000000000004
0.1,0.5,8,riskset_anchor_50,0,0,0.48124998807907104,0.06629908399963824,0.06639162500005114,1.4682464003562927,4.427124977111816,0.45331069827079773,0.397629052400589,0.3333333432674408,0.36257389187812805,0.3333333432674408,0.36257389187812805,0.387710839509964,0.0,0.0,0.8016358595140514,0.0,0.0,0.05027932960893855,0.6618615060302866,0.9421793203489962,True,riskset_anchor,True,0.5,0,evt_0.10__cen_0.50__b_8__policy_riskset_anchor_50__seed_0,family_smoke_20260329_132436,0.056640625,0.42000000000000004
