event_target,censor_target,batch_size,batching_policy,seed,best_epoch,best_val_c_index,best_time_s,total_time_s,final_train_loss,final_val_loss,final_val_ipcw_c_index,final_val_brier_proxy,test_harrell_c_index,test_uno_c_index,test_c_index,test_ipcw_c_index,test_brier_proxy,final_zero_event_fraction,final_one_event_fraction,final_grad_norm_var,empirical_zero_event_prob,empirical_weak_info_prob,train_event_rate,theoretical_zero_event_prob,theoretical_weak_info_prob,sampler_feasible,sampler_mode,sampler_with_replacement,requested_event_fraction,requested_min_events_per_batch,run_name,compact_run_id,realized_dataset_event_rate,realized_censoring_susceptible,bp
0.1,0.5,8,random,0,0,0.528124988079071,0.0473756249998587,0.0474806659999558,0.5545135233137343,3.8949098587036137,0.5256438255310059,0.4567740857601166,0.5354610085487366,0.5889436602592468,0.5354610085487366,0.5889436602592468,0.4830794036388397,0.6888888888888889,0.2222222222222222,0.8419475304159241,0.6888888888888889,0.9111111111111112,0.0502793296089385,0.6618615060302866,0.9421793203489962,True,random,False,,0,evt_0.10__cen_0.50__b_8__policy_random__seed_0,family_smoke_20260329_132436,0.056640625,0.42,0.402234636871508
0.1,0.5,8,event_quota_wr_25,0,0,0.449999988079071,0.0717216250000092,0.0718059999999241,1.5047430336475371,4.327353000640869,0.4653027355670929,0.3876637518405914,0.3758865296840668,0.4333882927894592,0.3758865296840668,0.4333882927894592,0.393215924501419,0.0,0.0,2.064211574084727,0.0,0.0,0.0502793296089385,0.6618615060302866,0.9421793203489962,True,quota,True,0.25,0,evt_0.10__cen_0.50__b_8__policy_event_quota_wr_25__seed_0,family_smoke_20260329_132436,0.056640625,0.42,0.402234636871508
0.1,0.5,8,event_quota_wr_50,0,0,0.4906249940395355,0.0803029580001748,0.0803820410001208,1.5196895745065475,4.288107395172119,0.5286834239959717,0.3864718079566955,0.3971631228923797,0.448040246963501,0.3971631228923797,0.448040246963501,0.3926496803760528,0.0,0.0,1.197759449190362,0.0,0.0,0.0502793296089385,0.6618615060302866,0.9421793203489962,True,quota,True,0.5,0,evt_0.10__cen_0.50__b_8__policy_event_quota_wr_50__seed_0,family_smoke_20260329_132436,0.056640625,0.42,0.402234636871508
0.1,0.5,8,riskset_anchor_25,0,0,0.5093749761581421,0.070129082999756,0.0702343329999166,1.4630081070794,4.512214183807373,0.4709480702877044,0.3567121028900146,0.4468085169792175,0.513906717300415,0.4468085169792175,0.513906717300415,0.4103721380233764,0.0,0.0,0.7205546516596836,0.0,0.0,0.0502793296089385,0.6618615060302866,0.9421793203489962,True,riskset_anchor,True,0.25,0,evt_0.10__cen_0.50__b_8__policy_riskset_anchor_25__seed_0,family_smoke_20260329_132436,0.056640625,0.42,0.402234636871508
0.1,0.5,8,riskset_anchor_50,0,0,0.481249988079071,0.0662990839996382,0.0663916250000511,1.4682464003562927,4.427124977111816,0.4533106982707977,0.397629052400589,0.3333333432674408,0.362573891878128,0.3333333432674408,0.362573891878128,0.387710839509964,0.0,0.0,0.8016358595140514,0.0,0.0,0.0502793296089385,0.6618615060302866,0.9421793203489962,True,riskset_anchor,True,0.5,0,evt_0.10__cen_0.50__b_8__policy_riskset_anchor_50__seed_0,family_smoke_20260329_132436,0.056640625,0.42,0.402234636871508
